Company,TypeName,Inches,Ram,OpSys,Weight,Res_Width,Res_Height,Touchscreen,PanelType,SSD(GB),HDD(GB),ClockSpeed(GHz),CPU,GPU,Price
Apple,Ultrabook,13.3,8,macOS,1.37,2560,1600,False,IPS Panel Retina Display,128,0,2.3,Intel Core i5,Intel Iris,1339.69
Apple,Ultrabook,13.3,8,macOS,1.34,1440,900,False,Unknown,128,0,1.8,Intel Core i5,Intel HD Graphics,898.94
HP,Notebook,15.6,8,No OS,1.86,1920,1080,False,Unknown,256,0,2.5,Intel Core i5,Intel HD Graphics,575.0
Apple,Ultrabook,15.4,16,macOS,1.83,2880,1800,False,IPS Panel Retina Display,512,0,2.7,Intel Core i7,AMD,2537.45
Apple,Ultrabook,13.3,8,macOS,1.37,2560,1600,False,IPS Panel Retina Display,256,0,3.1,Intel Core i5,Intel Iris,1803.6
Acer,Notebook,15.6,4,Windows 10,2.1,1366,768,False,Unknown,0,500,3.0,AMD,AMD,400.0
Apple,Ultrabook,15.4,16,Mac OS X,2.04,2880,1800,False,IPS Panel Retina Display,256,0,2.2,Intel Core i7,Intel Iris,2139.97
Apple,Ultrabook,13.3,8,macOS,1.34,1440,900,False,Unknown,256,0,1.8,Intel Core i5,Intel HD Graphics,1158.7
Asus,Ultrabook,14.0,16,Windows 10,1.3,1920,1080,False,Unknown,512,0,1.8,Intel Core i7,Nvidia GeForce,1495.0
Acer,Ultrabook,14.0,8,Windows 10,1.6,1920,1080,False,IPS Panel,256,0,1.6,Intel Core i5,Intel HD Graphics,770.0
HP,Notebook,15.6,4,No OS,1.86,1366,768,False,Unknown,0,500,2.5,Intel Core i5,Intel HD Graphics,393.9
HP,Notebook,15.6,4,No OS,1.86,1920,1080,False,Unknown,0,500,2.0,Intel Core i3,Intel HD Graphics,344.99
Apple,Ultrabook,15.4,16,macOS,1.83,2880,1800,False,IPS Panel Retina Display,256,0,2.8,Intel Core i7,AMD,2439.97
Dell,Notebook,15.6,4,Windows 10,2.2,1920,1080,False,Unknown,256,0,2.0,Intel Core i3,AMD,498.9
Apple,Ultrabook,12.0,8,macOS,0.92,2304,1440,False,IPS Panel Retina Display,256,0,1.2,Intel Other,Intel HD Graphics,1262.4
Apple,Ultrabook,13.3,8,macOS,1.37,2560,1600,False,IPS Panel Retina Display,256,0,2.3,Intel Core i5,Intel Iris,1518.55
Dell,Notebook,15.6,8,Windows 10,2.2,1920,1080,False,Unknown,256,0,2.7,Intel Core i7,AMD,745.0
Apple,Ultrabook,15.4,16,macOS,1.83,2880,1800,False,IPS Panel Retina Display,512,0,2.9,Intel Core i7,AMD,2858.0
Lenovo,Notebook,15.6,8,No OS,2.2,1920,1080,False,Unknown,0,1000,2.4,Intel Core i3,Nvidia GeForce,499.0
Dell,Ultrabook,13.3,8,Windows 10,1.22,1920,1080,True,IPS Panel,128,0,1.6,Intel Core i5,Intel HD Graphics,979.0
Asus,Netbook,11.6,2,Windows 10,0.98,1366,768,False,Unknown,32,0,1.44,Intel Other,Intel HD Graphics,191.9
Lenovo,Gaming,15.6,8,Windows 10,2.5,1920,1080,False,IPS Panel,128,1000,2.5,Intel Core i5,Nvidia GTX,999.0
HP,Notebook,15.6,4,No OS,1.86,1366,768,False,Unknown,0,500,1.5,AMD,AMD,258.0
Dell,2 in 1 Convertible,13.3,8,Windows 10,1.62,1920,1080,True,Unknown,256,0,1.6,Intel Core i5,Intel HD Graphics,819.0
HP,Ultrabook,15.6,8,Windows 10,1.91,1920,1080,False,Unknown,256,0,1.8,Intel Core i7,Intel HD Graphics,659.0
Dell,Notebook,15.6,4,Windows 10,2.3,1366,768,False,Unknown,0,1000,2.0,Intel Core i3,Intel HD Graphics,418.64
Apple,Ultrabook,13.3,8,Mac OS X,1.35,1440,900,False,Unknown,128,0,1.6,Intel Core i5,Intel HD Graphics,1099.0
Dell,Notebook,15.6,8,Windows 10,2.2,1920,1080,False,Unknown,256,0,1.6,Intel Core i5,AMD,800.0
Dell,Ultrabook,15.6,8,Windows 10,1.88,1920,1080,False,Unknown,256,0,1.9,Intel Core i7,Intel HD Graphics,1298.0
HP,Notebook,17.3,8,Windows 10,2.5,1920,1080,False,Unknown,0,1000,1.6,Intel Core i5,Nvidia GeForce,896.0
Chuwi,Notebook,15.6,4,Windows 10,1.89,1920,1080,False,Unknown,64,0,1.44,Intel Other,Intel HD Graphics,244.99
Asus,Notebook,14.0,2,Windows 10,1.65,1366,768,False,Unknown,32,0,1.5,AMD,AMD,199.0
HP,Notebook,17.3,4,Windows 10,2.71,1920,1080,False,Unknown,0,500,2.5,AMD,AMD,439.0
Dell,Ultrabook,13.3,16,Windows 10,1.2,3200,1800,True,Unknown,512,0,1.8,Intel Core i7,Intel HD Graphics,1869.0
Apple,Ultrabook,13.3,8,Mac OS X,1.35,1440,900,False,Unknown,256,0,1.6,Intel Core i5,Intel HD Graphics,998.0
